theta_deg,w_obs,w_jackknife_mean,w_jackknife_err
5.0,2.9230883881156724,2.9273409497700005,0.8381209297426933
15.0,1.4313121726042732,1.4184083199273052,0.49948155686012247
25.0,1.3495455492170774,1.3365118826922762,0.4036463688781233
35.0,1.1297710105890089,1.122091471260546,0.25521242587691206
45.0,0.9302735698179301,0.9224442037935152,0.18513652847034606
55.0,0.548206061229716,0.5439369934606244,0.08601715782703491
65.0,0.33992690690771943,0.3391974592025999,0.08328655867879593
75.0,0.14652483880803474,0.14647323137071597,0.09055026239686996
85.0,-0.1110839791474689,-0.11259377298139571,0.08867943795176174
95.0,-0.28292936674127633,-0.2841868577640419,0.09819109086323956
105.0,-0.4625379884317347,-0.4630943701157922,0.0939591226391551
115.0,-0.5640282513549426,-0.564620954623871,0.09454781434543279
125.0,-0.6415165900313016,-0.6344784258567531,0.08729254091056461
135.0,-0.7095881158265612,-0.6970676965624775,0.09307368348736494
145.0,-0.7452889283208753,-0.7371473122279588,0.10058475884984941
155.0,-0.7715074749880849,-0.7627672968276111,0.1137474687925915
165.0,-0.7946847264510917,-0.7796136247849371,0.12543251648367504
175.0,-0.763477955213486,-0.7661186038900248,0.1613995264650528
