category,statistic,value
chi2,chi2,4404014.737917509
chi2,chi2_red,259059.69046573582
chi2,p_empirical,0.000999000999000999
svd,chi2_svd,4404013.482685428
svd,chi2_svd_red,259059.6166285546
svd,p_svd_empirical,0.000999000999000999
covariance,effective_modes,7.652687823507015
covariance,condition,282.14271312053955
anisotropy,abs_stat,14.645291873796257
anisotropy,abs_p,0.000999000999000999
