run_tag,mode_index,eigenvalue,relative_eigenvalue,kept_by_svd_cut,delta_projection,abs_delta_projection,raw_chi2_contribution,svd_chi2_contribution,dominant_theta_deg,dominant_loading,cumulative_raw_chi2_contribution,fractional_raw_chi2_contribution,fractional_svd_chi2_contribution
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,8,1.8218791139170203e-06,0.12410828981641335,True,1.5434681147887805,1.5434681147887805,1282733.2571191397,1282733.2571191397,45.0,0.6771584812280986,1282733.2571191397,0.291264524179521,0.2912646071957458
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,3,4.727759595420645e-06,0.32205987409849574,True,-1.7750782882217808,1.7750782882217808,653792.94022703,653792.94022703,15.0,-0.7001873265500189,1936526.1973461695,0.1484538493020994,0.14845389161442069
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,0,1.4679753597539915e-05,1.0,True,-2.852990807468386,2.852990807468386,543929.4408902039,543929.4408902039,5.0,-0.9981443422422567,2480455.6382363737,0.12350763411554977,0.12350766931769995
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,4,3.115462388630442e-06,0.2122285205899193,True,1.1250175945777887,1.1250175945777887,398526.0402332904,398526.0402332904,155.0,-0.779193348169824,2878981.678469664,0.09049153192019939,0.09049155771209898
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,7,2.214256853214376e-06,0.15083746729818742,True,0.938872598684654,0.938872598684654,390522.3718795947,390522.3718795947,35.0,0.8649193840422646,3269504.050349259,0.0886741746155596,0.08867419988947593
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,6,2.3133994660354095e-06,0.15759116463801526,True,-0.8270979232358017,0.8270979232358017,290084.0279495633,290084.0279495633,145.0,0.8102870958335373,3559588.078298822,0.06586808746392463,0.06586810623764922
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,5,2.9117401266002424e-06,0.19835074936736008,True,-0.8462951197222414,0.8462951197222414,241296.84801490413,241296.84801490413,25.0,-0.7199379567099475,3800884.926313726,0.05479019993675237,0.05479021555305706
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,10,1.5748134400156917e-06,0.1072779205421816,True,-0.5133618529885305,0.5133618529885305,164164.27864086514,164164.27864086514,55.0,-0.5981429003117548,3965049.2049545916,0.03727605115111226,0.03727606177553366
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,12,1.4805643335488064e-06,0.10085757391710748,True,-0.4574525231281775,0.4574525231281775,138651.75114916917,138651.75114916917,65.0,-0.6520380674922565,4103700.9561037607,0.03148303523042533,0.03148304420372113
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,14,1.3410792326818425e-06,0.09135570456077582,True,0.3537616915019718,0.3537616915019718,91543.5507834879,91543.5507834879,95.0,-0.7388381819839899,4195244.506887249,0.02078638611159041,0.020786392036126904
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,1,1.3979308283366933e-05,0.9522849406484339,True,0.8793389861171585,0.8793389861171585,54260.97106680632,54260.97106680632,175.0,-0.9971152922650157,4249505.477954055,0.012320796885540016,0.012320800397213973
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,11,1.543607896196206e-06,0.10515216661776185,True,-0.27795553624046293,0.27795553624046293,49099.18159615573,49099.18159615573,125.0,0.6940212027993212,4298604.65955021,0.011148732354009542,0.011148735531621625
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,16,1.1890297804037493e-06,0.08099793858958307,True,0.20046388751240302,0.20046388751240302,33154.322051998184,33154.322051998184,85.0,0.6806580770120176,4331758.981602209,0.007528204155755309,0.00752820630144432
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,2,4.9423893992950644e-06,0.33668067835439197,True,-0.34690492743674706,0.34690492743674706,23886.062548099428,23886.062548099428,165.0,-0.6941593166731403,4355645.044150308,0.005423701774302931,0.0054237033201666
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,9,1.6675128302899772e-06,0.11359269889716847,True,0.18547513540101282,0.18547513540101282,20237.776570032227,20237.776570032227,135.0,0.5360021368056453,4375882.82072034,0.004595301735888814,0.004595303045641874
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,13,1.4516121368954574e-06,0.0988853203325377,True,-0.15090222433759165,0.15090222433759165,15388.676841515595,15388.676841515595,115.0,0.790197091373427,4391271.497561856,0.0034942382705995057,0.003494239266527419
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,15,1.2287175006661969e-06,0.0837015071473754,True,0.1263322628111557,0.1263322628111557,12741.985123572396,12741.985123572396,75.0,0.841741384198436,4404013.482685428,0.0028932657772161793,0.0028932666018548917
pureisotropy_nomask_nosf_gal20_bin10_nside64_smooth3,17,5.202953298059921e-08,0.003544305606690735,False,-0.0002580219686601076,0.0002580219686601076,1.2552320765225595,0.0,95.0,0.332067037405173,4404014.737917504,2.850199536607619e-07,0.0
