run_tag,bin_index,theta_deg,w_obs,h0_mean,h0_std,delta,pull,abs_pull,diagonal_chi2_contribution
fiducial_mask_sf_gal20_bin10_nside64_smooth3,0,5.0,-0.01086501188116141,-0.0006150976915042212,0.002851556325009608,-0.01024991418965719,-3.5944982380904418,3.5944982380904418,12.674683924768123
fiducial_mask_sf_gal20_bin10_nside64_smooth3,10,105.0,-0.004906993010129368,-0.0003891980798668476,0.002370046115385,-0.00451779493026252,-1.906205494918155,1.906205494918155,3.5645115155996048
fiducial_mask_sf_gal20_bin10_nside64_smooth3,9,95.0,-0.003306367694214187,-0.0005049378039415466,0.0019902239763039684,-0.0028014298902726406,-1.4075952868719641,1.4075952868719641,1.9436416453883072
fiducial_mask_sf_gal20_bin10_nside64_smooth3,4,45.0,0.0015554605979477129,-0.00036183756921312677,0.0016184623359079167,0.0019172981671608396,1.1846418192368016,1.1846418192368016,1.376685402188699
fiducial_mask_sf_gal20_bin10_nside64_smooth3,16,165.0,0.006075693425536173,-0.00039256585876219866,0.006027079508634265,0.006468259284298372,1.0731995942576968,1.0731995942576968,1.1298520741813192
fiducial_mask_sf_gal20_bin10_nside64_smooth3,5,55.0,-0.002111446950838494,-0.00045041605375698484,0.0016886084121755652,-0.0016610308970815093,-0.9836684953841998,0.9836684953841998,0.949200836594898
fiducial_mask_sf_gal20_bin10_nside64_smooth3,1,15.0,0.0014156424724663524,-0.0003037419785272184,0.0019215150967066262,0.0017193844509935708,0.8948066309995154,0.8948066309995154,0.7854507803401443
fiducial_mask_sf_gal20_bin10_nside64_smooth3,11,115.0,0.0017995499628417194,-0.0005164059514858326,0.002681427198106812,0.002315955914327552,0.8637027009717066,0.8637027009717066,0.7317945036013852
fiducial_mask_sf_gal20_bin10_nside64_smooth3,8,85.0,0.001233473195555297,-0.00036523890589772,0.0018991481917534304,0.001598712101453017,0.8418048194202086,0.8418048194202086,0.6951578054559051
fiducial_mask_sf_gal20_bin10_nside64_smooth3,6,65.0,0.000848366690813005,-0.0003300015230915904,0.001680003056475654,0.0011783682139045954,0.7014083746223609,0.7014083746223609,0.48261685125579873
fiducial_mask_sf_gal20_bin10_nside64_smooth3,7,75.0,0.0007786083085523325,-0.0004075121301542377,0.001710028016272004,0.0011861204387065703,0.6936263188241676,0.6936263188241676,0.47196708840210394
fiducial_mask_sf_gal20_bin10_nside64_smooth3,12,125.0,0.0015702113093585606,-0.0003156222399979753,0.0031185331849194874,0.001885833549356536,0.604718127699034,0.604718127699034,0.3587290629812826
fiducial_mask_sf_gal20_bin10_nside64_smooth3,2,25.0,-0.001121183352258828,-0.00031327358690225827,0.0016841897508519065,-0.0008079097653565697,-0.4797023402310849,0.4797023402310849,0.22573778657308788
fiducial_mask_sf_gal20_bin10_nside64_smooth3,3,35.0,0.00039026376963386994,-0.0003391529506411916,0.0016477031601390953,0.0007294167202750615,0.44268697024942216,0.44268697024942216,0.19224456335250817
fiducial_mask_sf_gal20_bin10_nside64_smooth3,14,145.0,0.0010292805972290978,-0.0005137007072888973,0.003914501876412244,0.0015429813045179951,0.3941705363385883,0.3941705363385883,0.1524154189798756
fiducial_mask_sf_gal20_bin10_nside64_smooth3,15,155.0,-0.0017617042303130154,-0.0001155969709984433,0.004712321470057467,-0.0016461072593145722,-0.34931981390165595,0.34931981390165595,0.11970354933669218
fiducial_mask_sf_gal20_bin10_nside64_smooth3,13,135.0,8.705770002825895e-06,-0.00038334660292127385,0.003529339349030755,0.00039205237292409974,0.11108378482241538,0.11108378482241538,0.012104920032348311
fiducial_mask_sf_gal20_bin10_nside64_smooth3,17,175.0,0.000562064561232942,-0.0002180429934038315,0.0100617954685606,0.0007801075546367735,0.07753164502267912,0.07753164502267912,0.005896829691186409
