theta_deg,w_obs,w_jackknife_mean,w_jackknife_err
5.0,-0.01086501188116141,-0.0069543657431538975,0.09223549763567342
15.0,0.0014156424724663524,0.002019585270115439,0.011511628966590078
25.0,-0.001121183352258828,-0.0012602773767809946,0.015735509031736535
35.0,0.00039026376963386994,3.9025692045048336e-05,0.013157632665865318
45.0,0.0015554605979477129,0.0011031141171962172,0.013457413314523338
55.0,-0.002111446950838494,-0.0021060819108976617,0.010551388995665486
65.0,0.000848366690813005,0.00016276783250281562,0.012633940882477452
75.0,0.0007786083085523325,0.0005458320653180203,0.016779376502702777
85.0,0.001233473195555297,0.001310465914050302,0.010309545009487725
95.0,-0.003306367694214187,-0.0044144992570218575,0.011543599462160166
105.0,-0.004906993010129368,-0.0048452800740274105,0.013372995840456925
115.0,0.0017995499628417194,0.0023817713928209836,0.013704279196366206
125.0,0.0015702113093585606,0.0022671076106108973,0.010837142751496776
135.0,8.705770002825895e-06,-0.0001353229260256395,0.012418571598940551
145.0,0.0010292805972290978,0.0014358032468128128,0.017198955263235245
155.0,-0.0017617042303130154,-0.000558602460414758,0.0161742569658117
165.0,0.006075693425536173,0.0034683557167797256,0.024164368940433983
175.0,0.000562064561232942,0.002020888398072778,0.036318234399606665
