category,statistic,value
chi2,chi2,238695.70001996722
chi2,chi2_red,14918.481251247951
chi2,p_empirical,0.000999000999000999
svd,chi2_svd,206872.75335243397
svd,chi2_svd_red,12929.547084527123
svd,p_svd_empirical,0.000999000999000999
covariance,effective_modes,9.028810641955145
covariance,condition,160.5259443288973
anisotropy,abs_stat,0.11581110197491996
anisotropy,abs_p,0.000999000999000999
