0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2.585898796081569e-06,-1.0354937944262315e-07,-3.7854207080549616e-08,-4.192390506158381e-08,-1.809911653710709e-08,-5.774340398353412e-08,-9.671626684791946e-09,-1.8698905631025808e-08,-2.8688294244663342e-08,-5.7357412191203005e-08,-4.499544566113561e-08,-1.564112943165712e-08,-1.638406157899647e-08,2.6338411881977407e-09,-6.573498096043503e-08,-7.834091783663334e-09,4.5857495750144695e-09
-1.0354937944262315e-07,9.459513572588439e-07,-4.3458313703038115e-08,-3.007060989713354e-08,-1.5318876232954882e-08,-1.9267335786427754e-08,-2.964591562678233e-08,-3.5651002021627054e-08,-3.268094070747361e-08,-4.7437109013408295e-08,-2.1347462389691666e-08,-6.117897812717187e-08,-1.7569253301677856e-08,-1.535168065142755e-08,-3.7235389359888686e-08,-4.208240210875008e-08,5.019616391575357e-09
-3.7854207080549616e-08,-4.3458313703038115e-08,6.259544960328409e-07,-2.5560054192405376e-08,-4.8040178698700725e-08,-4.26174251385875e-08,-2.7108893897357518e-08,-4.091284368308339e-08,-2.612043737575868e-08,-4.123084244336267e-08,-4.3986909267406524e-09,-2.1571861714740137e-08,-6.157804778698702e-08,-6.736740820750741e-09,-4.20170714584063e-08,6.969714734477281e-09,-6.118188162498962e-08
-4.192390506158381e-08,-3.007060989713354e-08,-2.5560054192405376e-08,4.6426057615702114e-07,-3.463249798519587e-08,-1.1223955043448728e-08,-3.479001425016252e-08,-2.4036824940855093e-08,-1.3589470062293416e-08,-2.206628882369504e-08,-5.17911215835431e-08,-5.051230764383948e-09,-4.416732889079171e-08,-4.816869111457211e-08,-2.9078736832719156e-08,-2.400919260395099e-08,-4.04319082355076e-08
-1.809911653710709e-08,-1.5318876232954882e-08,-4.8040178698700725e-08,-3.463249798519587e-08,4.2563351625298156e-07,-4.130072859852062e-08,-1.1272565093896504e-08,-4.4819255099147434e-09,-2.203152033974415e-08,-2.9191065761695252e-08,-4.491655985825987e-08,-3.321156231240671e-08,-3.405108190791435e-08,-4.827413114458088e-08,-1.995904880700399e-08,-3.26387377780605e-08,-3.7938399758537403e-08
-5.774340398353412e-08,-1.9267335786427754e-08,-4.26174251385875e-08,-1.1223955043448728e-08,-4.130072859852062e-08,4.0517130558238416e-07,-3.854702033625349e-08,-4.13018899776436e-08,-2.948335722030218e-08,-3.013365077364595e-08,-2.4209834208621998e-08,-2.04411661842659e-08,-3.041213126812002e-08,-3.409827800471456e-08,-3.182118467118495e-08,-3.6593308665808535e-08,-1.5231832369887876e-08
-9.671626684791946e-09,-2.964591562678233e-08,-2.7108893897357518e-08,-3.479001425016252e-08,-1.1272565093896504e-08,-3.854702033625349e-08,3.6765618319289833e-07,-4.441736593372249e-08,-1.494115871845761e-08,-4.071369834167816e-08,-3.789196174318572e-08,-3.234703560561152e-08,-3.379044488734718e-08,-2.465621152128679e-08,-1.7025788696512445e-08,-1.8885586931070443e-08,-7.051968038160173e-08
-1.8698905631025808e-08,-3.5651002021627054e-08,-4.091284368308339e-08,-2.4036824940855093e-08,-4.4819255099147434e-09,-4.13018899776436e-08,-4.441736593372249e-08,3.7001782872216243e-07,-4.6788378804083774e-08,-2.1259585890000196e-08,-3.617664747985464e-08,-5.5796724098188104e-08,-2.1989925506294432e-08,-2.114642327458828e-08,-2.702742900591497e-08,-8.022971324004058e-09,-3.855313473947807e-08
-2.8688294244663342e-08,-3.268094070747361e-08,-2.612043737575868e-08,-1.3589470062293416e-08,-2.203152033974415e-08,-2.948335722030218e-08,-1.494115871845761e-08,-4.6788378804083774e-08,3.471858162292114e-07,-4.7270573261634614e-08,-2.1688219824266888e-08,-2.9036329341198323e-08,-1.8754409341832562e-08,-3.477944922969976e-08,-4.601300723102662e-08,-5.3489663695073324e-08,-2.4917910003753265e-08
-5.7357412191203005e-08,-4.7437109013408295e-08,-4.123084244336267e-08,-2.206628882369504e-08,-2.9191065761695252e-08,-3.013365077364595e-08,-4.071369834167816e-08,-2.1259585890000196e-08,-4.7270573261634614e-08,3.83757726053538e-07,-3.328223421403478e-08,-2.6116299892715568e-08,-2.9408621159577947e-08,-5.285469452867697e-08,-2.4281279502966755e-08,-1.1813447363985693e-08,-2.46853999155645e-08
-4.499544566113561e-08,-2.1347462389691666e-08,-4.3986909267406524e-09,-5.17911215835431e-08,-4.491655985825987e-08,-2.4209834208621998e-08,-3.789196174318572e-08,-3.617664747985464e-08,-2.1688219824266888e-08,-3.328223421403478e-08,4.0022947334555553e-07,-6.376414812285878e-08,-1.8768789196114756e-08,-2.0396133308478913e-08,-2.757994242504967e-08,-3.393663610491276e-08,-6.773676276646253e-08
-1.564112943165712e-08,-6.117897812717187e-08,-2.1571861714740137e-08,-5.051230764383948e-09,-3.321156231240671e-08,-2.04411661842659e-08,-3.234703560561152e-08,-5.5796724098188104e-08,-2.9036329341198323e-08,-2.6116299892715568e-08,-6.376414812285878e-08,4.0594244939304074e-07,-4.2177300807938715e-08,-1.279192144789741e-08,2.116757472339132e-09,-3.590939064236424e-08,2.153081808188143e-09
-1.638406157899647e-08,-1.7569253301677856e-08,-6.157804778698702e-08,-4.416732889079171e-08,-3.405108190791435e-08,-3.041213126812002e-08,-3.379044488734718e-08,-2.1989925506294432e-08,-1.8754409341832562e-08,-2.9408621159577947e-08,-1.8768789196114756e-08,-4.2177300807938715e-08,4.690716081651523e-07,-4.156254650803605e-08,-5.2447534784807417e-08,-5.389507750595424e-08,4.989700973672664e-08
2.6338411881977407e-09,-1.535168065142755e-08,-6.736740820750741e-09,-4.816869111457211e-08,-4.827413114458088e-08,-3.409827800471456e-08,-2.465621152128679e-08,-2.114642327458828e-08,-3.477944922969976e-08,-5.285469452867697e-08,-2.0396133308478913e-08,-1.279192144789741e-08,-4.156254650803605e-08,5.142253882588554e-07,-3.869348466954734e-08,-4.103925158723202e-08,-4.544215150583001e-08
-6.573498096043503e-08,-3.7235389359888686e-08,-4.20170714584063e-08,-2.9078736832719156e-08,-1.995904880700399e-08,-3.182118467118495e-08,-1.7025788696512445e-08,-2.702742900591497e-08,-4.601300723102662e-08,-2.4281279502966755e-08,-2.757994242504967e-08,2.116757472339132e-09,-5.2447534784807417e-08,-3.869348466954734e-08,6.060113481355395e-07,-5.7631319941140347e-08,-1.6917802173836995e-08
-7.834091783663334e-09,-4.208240210875008e-08,6.969714734477281e-09,-2.400919260395099e-08,-3.26387377780605e-08,-3.6593308665808535e-08,-1.8885586931070443e-08,-8.022971324004058e-09,-5.3489663695073324e-08,-1.1813447363985693e-08,-3.393663610491276e-08,-3.590939064236424e-08,-5.389507750595424e-08,-4.103925158723202e-08,-5.7631319941140347e-08,9.470174188968026e-07,-1.3405942791962125e-07
4.5857495750144695e-09,5.019616391575357e-09,-6.118188162498962e-08,-4.04319082355076e-08,-3.7938399758537403e-08,-1.5231832369887876e-08,-7.051968038160173e-08,-3.855313473947807e-08,-2.4917910003753265e-08,-2.46853999155645e-08,-6.773676276646253e-08,2.153081808188143e-09,4.989700973672664e-08,-4.544215150583001e-08,-1.6917802173836995e-08,-1.3405942791962125e-07,2.612685710662837e-06
