theta_deg,w_obs,w_jackknife_mean,w_jackknife_err
6.205871485792413,0.47661310136595414,-0.05516922734328187,0.15936657381680713
16.45183316663692,0.15278953487190586,0.003850283220797727,0.012104812822861645
26.87895779669927,0.13742498865746366,0.0016230389414552064,0.013544964449614918
37.38091338335579,0.09087904901400307,0.002787135088448038,0.01069305475789961
47.79735491627765,0.006226938585466188,-0.005013962815929054,0.008811925420737556
58.36507048927197,-0.041177367641012534,0.0011324922101210836,0.0069501878986797045
68.92065940386797,-0.06860797065347632,-0.0023172428527734935,0.007256921806986949
79.47258022475677,-0.06710363949319716,0.0017760566721002748,0.009157981178194587
90.09983849473228,-0.056424956896654034,-0.0012016326149926796,0.006015894539343509
100.59701518910867,-0.01621748442861199,0.0015598963351553773,0.007705989084391405
111.18704330594409,-0.010694122165854072,0.0003016665545005429,0.005977583063522664
121.72465435457346,0.0013757299395686705,-0.00018162522860220678,0.007025039313484789
132.26424791418285,0.016063231668052323,-0.00099398745340102,0.006931915663411997
142.72852160988282,0.01266509293613106,-0.0016042467867054863,0.007948848301116444
153.22822568701844,0.020569552235929496,0.0024773452768185656,0.009553503506122208
163.55511736639326,0.008120609946913104,-0.003092515841398432,0.013343716094211358
173.01368596731615,-0.0002449582988207173,0.00748016945240549,0.024121580026873327
