eigenvalue
0.00011810902232510309
3.511104074002842e-05
2.166151529144844e-05
1.6073975756188925e-05
1.1053636095302534e-05
8.792540452977815e-06
8.57762691627935e-06
6.775237755604472e-06
5.390688266031292e-06
4.339507812356066e-06
4.1423809073357366e-06
3.584328345094381e-06
3.530066863868848e-06
3.418748998049963e-06
3.0968151681103672e-06
2.909955632739226e-06
2.3714638194961667e-06
1.0100713631972627e-07
