Name,Reporting Group/s,RA,DEC,Discovery Mag/Flux,flux,SNR
AT 2018frb,GaiaAlerts,119.02433333333332,-17.58451111111111,19.18,,
FRB 20171216A,FRBCAT,51.99999999999999,-57.06666666666667,21.0,,
FRB 20171213A,FRBCAT,54.74999999999999,-10.933333333333334,88.6,,
FRB 20171209A,FRBCAT,237.60416666666666,-46.17222222222222,1.48,,
FRB 20171116A,FRBCAT,52.74999999999999,-17.23333333333333,19.6,,
FRB 20171020A,FRBCAT,333.74999999999994,-19.666666666666668,117.6,,
FRB 20171019A,FRBCAT,334.375,-8.666666666666666,40.5,,
FRB 20171004A,FRBCAT,179.39999999999998,-11.9,22.0,,
FRB 20171003A,FRBCAT,187.37499999999997,-14.116666666666667,40.5,,
FRB 20170922A,FRBCAT,322.460875,-7.994580555555555,5.19,,
FRB 20170906A,FRBCAT,329.94999999999993,-19.95,29.6,,
FRB 20170827A,FRBCAT,12.327749999999998,-65.55063888888888,50.3,,
FRB 20170712A,FRBCAT,339.0,-60.95,37.8,,
FRB 20170707A,FRBCAT,44.74999999999999,-57.266666666666666,14.8,,
FRB 20170428A,FRBCAT,326.75,-41.85,7.7,,
FRB 20170416A,FRBCAT,333.24999999999994,-55.03333333333333,19.4,,
FRB 20170107A,FRBCAT,170.825,-5.0,22.3,,
FRB 20160608A,FRBCAT,114.17499999999998,-40.797777777777775,4.3,,
FRB 20160317A,FRBCAT,118.44583333333331,-29.608611111111113,3.0,,
FRB 20160102A,FRBCAT,339.7041666666666,-30.180555555555557,0.5,,
AT 2016frb,GaiaAlerts,186.8905833333333,-46.69858055555555,17.48,,
FRB 20151230A,FRBCAT,145.20833333333331,-3.4513888888888893,0.42,,
FRB 20151206A,FRBCAT,290.35416666666663,-4.131666666666666,0.3,,
FRB 20150807A,FRBCAT,340.6291666666666,-55.07833333333333,128.0,,
FRB 20150610A,FRBCAT,161.1083333333333,-40.08972222222222,0.7,,
FRB 20150418A,FRBCAT,109.14583333333331,-19.011111111111113,2.2,,
FRB 20150215A,FRBCAT,274.3625,-4.904166666666667,0.7,,
FRB 20140514A,FRBCAT,338.5249999999999,-12.312777777777779,0.471,,
FRB 20131104A,FRBCAT,101.04166666666666,-51.27777777777778,1.12,,
FRB 20130729A,FRBCAT,205.33749999999998,-5.995277777777778,0.22,,
FRB 20130626A,FRBCAT,246.77499999999995,-7.463333333333334,0.74,,
FRB 20121002A,FRBCAT,273.6958333333333,-85.19805555555556,0.76,,
FRB 20120127A,FRBCAT,348.7749999999999,-18.427222222222223,0.62,,
FRB 20110703A,FRBCAT,352.7125,-2.8733333333333335,0.45,,
FRB 20110626A,FRBCAT,315.9291666666667,-44.73861111111111,0.63,,
FRB 20110523A,FRBCAT,326.29999999999995,-0.16027777777777777,0.6,,
FRB 20110220A,FRBCAT,338.6583333333333,-12.395833333333332,1.11,,
FRB 20110214A,FRBCAT,20.320833333333333,-49.78638888888889,27.0,,
