Name,Reporting Group/s,RA,DEC,Discovery Mag/Flux,flux,SNR
FRB 20200707A,CHIME,272.15050548470794,22.344109012510835,,1.3042403943944032,
FRB 20210529A,CHIME,247.93834738558903,4.437605667450356,,3.392178628986988,
FRB 20230904A,CHIME,307.9514090907609,74.46591751791482,,5.503099933068063,
FRB 20221214A,CHIME,347.1037535022426,48.80154224922586,,0.3933875164295358,
FRB 20201109B,CHIME,86.13016977166635,49.71465349255391,,1.4308982576702902,
FRB 20211120A,CHIME,189.9933547807556,51.13045299811444,,0.8099002303765102,
FRB 20211115A,CHIME,124.5992096192474,1.2858643775386194,,1.1896816484431172,
FRB 20210907A,CHIME,122.61835493641368,54.79579913147967,,0.4142144276336438,
FRB 20230116B,CHIME,223.166784316909,41.6110590422893,,4.54170780288527,
FRB 20230629A,CHIME,339.6198307654705,30.65418362696789,,0.8864108538497079,
FRB 20201128A,CHIME,262.9316843802451,82.97359174949611,,0.5046422540740497,
FRB 20210827B,CHIME,245.8599363194339,17.964900437188703,,1.2487270550665288,
FRB 20191111A,CHIME,60.81610783672888,73.62137450457247,,0.4998682072219351,
FRB 20190301D,CHIME,278.4858863400493,74.68270213869083,,0.3582348680353748,
FRB 20201212F,CHIME,206.0231499054856,48.2570045023551,,0.4549471482444449,
FRB 20210104B,CHIME,219.3129418647109,27.13543696679236,,1.1460597346320571,
FRB 20010704A ,PARKES,270.87416666666667,14.293416666666667,,,7.1
FRB 20210530B,CHIME,273.9358312790158,27.039258727181025,,1.2389273132797842,
FRB 20210805A,CHIME,287.0017454185064,81.59598303298642,,0.5980834159159161,
FRB 20200316A,CHIME,34.36903263155301,37.11969002457256,,0.4197238496110416,
FRB 20211117F,CHIME,303.3914404801,61.74913296343588,,0.6195461913581684,
FRB 20210924A,CHIME,181.8597659761168,48.987021273836646,,2.9545719670412844,
FRB 20230223D,CHIME,197.2985008684226,70.43881988237948,,0.4017687867624631,
FRB 20210401A,CRAFT,76.74999999999999,25.883333333333333,,,
FRB 20220716B,CHIME,308.44866155891543,53.511852876647865,,0.5954103993896063,
FRB 20220318A,CHIME,41.06237198283108,74.6594267209489,,2.095064616381402,
FRB 20181117B,CHIME,81.75011102777586,79.98487967376226,,1.4226063239496547,
FRB 20210105A,CHIME,316.0310935185911,58.58461641171597,,0.3689736012958259,
FRB 20200807C,CHIME,211.2342951845412,54.85003933173589,,0.8253718018361661,
FRB 20190712B,CHIME,165.85618734699244,6.313627761666858,,10.785740166350651,
FRB 20210403C,CHIME,192.5139657125399,82.38140646738239,,2.438411518943706,
FRB 20220614B,CHIME,191.8414913623984,1.9094492920919013,,2.0482612039727406,
FRB 20210211A,CHIME,294.9390280568528,59.290176161246094,,0.6463975577316402,
FRB 20200128A,CHIME,357.0927760963399,27.359646020133106,,1.810452293840929,
FRB 20200929A,CHIME,68.7268326177176,23.18686160303649,,0.744527869171369,
FRB 20191224B,CHIME,185.32626595786624,72.10472186597673,,0.3249295229021315,
FRB 20190219B,CHIME,246.26282312903652,57.92095606810628,,1.0821781532177046,
FRB 20230308C,CHIME,313.8191207273704,34.51638895854831,,2.1542258596908908,
FRB 20211013D,CHIME,54.43026491013603,33.54225027621147,,0.6766982615857691,
FRB 20220911A,CHIME,269.81023955921296,87.94563480758225,,1.0548895320833274,
FRB 20220907B,CHIME,222.6937501344354,12.384211980619533,,2.228216281876118,
FRB 20190605B,CHIME,29.414050254930828,65.73412645838258,,1.6750070598978914,
FRB 20211107D,CHIME,207.99120314397908,48.116051962126086,,0.7611270151830292,
FRB 20200828B,CHIME,81.97154162337353,41.13178103203934,,0.4230730640426371,
FRB 20211122B,CHIME,204.4341194288565,56.81397119761017,,7.55222025111729,
FRB 20201017F,CHIME,329.7390363864194,55.82342263562809,,0.7173654457950023,
FRB 20230527B,CHIME,349.43427119478184,46.47728716374158,,0.9049618356782636,
FRB 20210313B,CHIME,17.24990594579821,18.48818162752096,,0.8112183714482176,
FRB 20210601J,CHIME,197.53248675305565,65.9628278282688,,0.3849084124311828,
FRB 20191116A,CHIME,208.16360323300344,48.10792413256466,,2.9152849660036897,
FRB 20210302B,CHIME,227.75898444695525,38.602247869416416,,0.9648650287319216,
