theta_deg,w_obs,w_jackknife_mean,w_jackknife_err
5.0,-0.016634285964230777,-0.014027522475621992,0.2100004809264519
15.0,0.005445207913567085,0.007623552199276707,0.02122275710290709
25.0,0.006246283739871532,0.004102918904832142,0.03594966303951867
35.0,-0.007829771877849976,-0.008460634049349117,0.023634385347031744
45.0,0.004263433934164611,0.004705844016852091,0.02488834187645492
55.0,-0.003927903209866899,-0.004011171805322042,0.01576231748263681
65.0,0.0005959073953254112,0.0008208872021116958,0.013653077449305143
75.0,0.005010935055504689,0.0058689296251923425,0.020037800105546368
85.0,-0.001958124909773558,-0.0031368939849692507,0.015489570214926586
95.0,-0.00292979624779211,-0.0028454534212658993,0.02285509827215608
105.0,-0.0022286408069658735,-0.0021713572415028286,0.017598530028049248
115.0,-0.0007330742728474525,-0.0006612275189628261,0.02107250699792103
125.0,0.0011266989716937608,0.0003311574125220288,0.022575523859986558
135.0,0.001231364423917199,0.0005587911084736293,0.026625385990212004
145.0,0.0034147055449557507,0.004896296852450228,0.03362547059785278
155.0,-8.373892526975616e-05,-0.0016633086170545267,0.030512634920834652
165.0,-0.01623904577136723,-0.014058625934629284,0.03968297841549248
175.0,0.02672697705971153,0.028471819742787247,0.07480003213070159
