run_tag,bin_index,theta_deg,w_obs,h0_mean,h0_std,delta,pull,abs_pull,diagonal_chi2_contribution
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,3,35.0,-0.007829771877849976,-0.00026857941855398316,0.0009817856042493242,-0.007561192459295993,-7.701470075410029,7.701470075410029,58.18457318758455
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,0,5.0,-0.016634285964230777,-0.000357740547612042,0.0021150270644173215,-0.016276545416618736,-7.695667673835261,7.695667673835261,58.09693191398709
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,2,25.0,0.006246283739871532,-0.0002690508869216247,0.0011172096711139098,0.006515334626793157,5.831792177797095,5.831792177797095,33.36296703161249
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,7,75.0,0.005010935055504689,-0.00016862459803175818,0.001038020164532423,0.0051795596535364466,4.989844923561517,4.989844923561517,24.425006367349837
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,4,45.0,0.004263433934164611,-0.00020518510564145233,0.0009200458770225452,0.004468619039806063,4.856952404819711,4.856952404819711,23.14132830799271
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,1,15.0,0.005445207913567085,-0.00020608276535746573,0.0013926283111394314,0.005651290678924551,4.058003581905305,4.058003581905305,16.154199431949486
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,5,55.0,-0.003927903209866899,-0.0002470944264709034,0.0009507938392018494,-0.0036808087833959955,-3.8713006203474936,3.8713006203474936,14.701931085220721
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,16,165.0,-0.01623904577136723,-0.00016732286125584282,0.0044002193897340995,-0.01607172291011139,-3.6524821794010824,3.6524821794010824,13.086900455823807
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,17,175.0,0.02672697705971153,6.311717943215089e-05,0.008113314668037289,0.02666385988027938,3.286432360627677,3.286432360627677,10.595220130500891
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,9,95.0,-0.00292979624779211,-0.00022109221425960395,0.0011902476224187706,-0.002708704033532506,-2.2757483234893967,2.2757483234893967,5.080530362118015
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,8,85.0,-0.001958124909773558,-0.0002804907888697653,0.0011197836582219954,-0.0016776341209037927,-1.4981769979295656,1.4981769979295656,2.2018454801916256
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,10,105.0,-0.0022286408069658735,-0.00017450889090289646,0.0014446451266306756,-0.002054131916062977,-1.4218937763850037,1.4218937763850037,1.9833296054444245
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,14,145.0,0.0034147055449557507,-0.0002437352228769256,0.002674309075580048,0.0036584407678326766,1.3679947467071207,1.3679947467071207,1.8358172531025714
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,6,65.0,0.0005959073953254112,-0.00022376005689098182,0.0009590592796166864,0.0008196674522163931,0.8546577555553576,0.8546577555553576,0.7165476306717522
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,12,125.0,0.0011266989716937608,-0.0002676708321815525,0.0019525048782883419,0.0013943698038753134,0.7141440816186538,0.7141440816186538,0.5003020364731641
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,13,135.0,0.001231364423917199,-0.00028530487178392793,0.002235390175104051,0.001516669295701127,0.6784807913688041,0.6784807913688041,0.4515810420169518
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,11,115.0,-0.0007330742728474525,-0.00023231258127858224,0.0016264099057077578,-0.0005007616915688703,-0.30789390147194295,0.30789390147194295,0.09299567726384869
weightedisotropy_nomask_sf_gal20_bin10_nside64_smooth3,15,155.0,-8.373892526975616e-05,-0.00027788100120303355,0.003485076976649732,0.0001941420759332774,0.0557066822851652,0.0557066822851652,0.0030442139779191025
