eigenvalue
6.549792631258934e-05
1.9675012916186736e-05
1.2337801240806166e-05
7.2478961427083324e-06
4.895751206584414e-06
4.509495658134293e-06
3.64690413867724e-06
2.6303418818030413e-06
2.0664751394451062e-06
1.995719766497874e-06
1.5796629022574067e-06
1.354360443567839e-06
1.3219406423977047e-06
1.1214076805933367e-06
1.0777660790133678e-06
1.0089238785324201e-06
9.24347691119919e-07
4.533780700042974e-08
