0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
6.940262203124081e-06,-7.276408681704832e-07,-3.628167059771e-07,-3.7570131519073643e-07,-4.021048542515543e-07,-1.0785888432520372e-07,-4.3078061256823096e-08,-3.461531415828573e-07,-2.303044445297426e-07,-3.9446627563869826e-07,1.4687386888139945e-07,9.151602674630282e-08,3.656981012078713e-08,-8.378377878209508e-08,-2.581046656657753e-07,4.5506542258610596e-07,-9.110047181533706e-07
-7.276408681704832e-07,3.3494503979512e-06,-5.428387258134685e-07,-4.230660199907065e-07,-2.6404590634853813e-07,-2.766342450553701e-07,-2.116104524199914e-07,-2.5608160988969494e-07,-2.6314801673728265e-07,-2.069995147776494e-08,-2.745892627192777e-07,-6.060970782408669e-08,3.172301874486609e-07,-3.793042916804918e-07,1.9279747441573955e-07,1.994563726365529e-07,4.042051242534728e-07
-3.628167059771e-07,-5.428387258134685e-07,2.6688088791140753e-06,-4.0590799960230777e-07,-1.9328034854941396e-07,-4.26876936483433e-07,-2.519717167095795e-07,-2.0529343925180594e-07,-3.19032814162016e-07,-1.0151507679852263e-07,4.61973248615545e-08,-5.573622957778113e-08,-3.2089660709603045e-07,-3.082503760978652e-08,1.7925573970417958e-07,-4.663879304596785e-07,-1.102905439267962e-06
-3.7570131519073643e-07,-4.230660199907065e-07,-4.0590799960230777e-07,2.627811702983852e-06,-3.8734775619012904e-07,-2.85066126566349e-07,-3.002986354237416e-07,-8.552157124291901e-08,-3.0603703523064887e-07,-2.3562409567489808e-07,-5.764237798435608e-07,-2.3476364733722561e-07,-1.9653959275482697e-07,3.172744697829225e-07,-1.8133392497840957e-07,2.1858842320643397e-07,4.742595281073398e-07
-4.021048542515543e-07,-2.6404590634853813e-07,-1.9328034854941396e-07,-3.8734775619012904e-07,2.6344739614625755e-06,-4.871906992263018e-07,-3.896805628542684e-07,-2.1959233520880254e-07,-2.0844427147499044e-07,-3.326004428001259e-07,-3.4633926313551573e-07,-1.8214706614672998e-07,-2.8981931389009247e-08,2.6252544408816443e-07,5.5884343250278343e-08,-2.2951249510762233e-07,1.4442293166695283e-07
-1.0785888432520372e-07,-2.766342450553701e-07,-4.26876936483433e-07,-2.85066126566349e-07,-4.871906992263018e-07,2.5618819469799844e-06,-2.6028554273481684e-07,-2.1654248767051123e-07,-1.1222013870244667e-07,-1.8626614570943422e-07,-1.3961787328899291e-07,-2.407958841697506e-07,-2.8512334732413507e-07,-4.941821588448071e-07,-3.945539153501701e-09,-5.246534237372009e-07,-4.4245821546056034e-07
-4.3078061256823096e-08,-2.116104524199914e-07,-2.519717167095795e-07,-3.002986354237416e-07,-3.896805628542684e-07,-2.6028554273481684e-07,2.6455948319835295e-06,-5.627294803442483e-07,-3.885319548447632e-07,-2.3193732683080304e-07,-1.4465381892114245e-07,-1.0400828609386964e-07,-4.850315084317479e-07,7.67829615740511e-08,-4.3828291805762617e-07,2.515672945205224e-07,-6.470872886397856e-08
-3.461531415828573e-07,-2.5608160988969494e-07,-2.0529343925180594e-07,-8.552157124291901e-08,-2.1959233520880254e-07,-2.1654248767051123e-07,-5.627294803442483e-07,3.0183041817814237e-06,-3.980524668619227e-07,-7.259619232082676e-07,-1.0868819032257458e-07,-2.4488349188589367e-07,-1.5485689200681568e-07,-1.5006645457891724e-07,-4.894995948622801e-07,-7.969874502634278e-07,3.2829644078544317e-07
-2.303044445297426e-07,-2.6314801673728265e-07,-3.19032814162016e-07,-3.0603703523064887e-07,-2.0844427147499044e-07,-1.1222013870244667e-07,-3.885319548447632e-07,-3.980524668619227e-07,3.9217318654851465e-06,-4.503269566755533e-07,-3.256613222177136e-07,-5.029355120057191e-07,-2.8244047339142367e-07,-3.356641848967661e-07,-1.017840952622466e-06,-1.870776556087702e-07,2.7536928097870966e-07
-3.9446627563869826e-07,-2.069995147776494e-08,-1.0151507679852263e-07,-2.3562409567489808e-07,-3.326004428001259e-07,-1.8626614570943422e-07,-2.3193732683080304e-07,-7.259619232082676e-07,-4.503269566755533e-07,5.015044472295367e-06,-4.146783750454367e-07,-3.7671338648565115e-07,-4.81923782862894e-07,-7.609842052837945e-07,9.904221899246271e-08,1.5171295098786221e-07,-1.3661328848643493e-06
1.4687386888139945e-07,-2.745892627192777e-07,4.61973248615545e-08,-5.764237798435608e-07,-3.4633926313551573e-07,-1.3961787328899291e-07,-1.4465381892114245e-07,-1.0868819032257458e-07,-3.256613222177136e-07,-4.146783750454367e-07,6.1767457559590655e-06,-9.006784737010372e-07,-5.9643212983912e-07,-9.809844833418682e-07,-4.888925713773791e-07,-3.9801114047036413e-07,-8.600877734930269e-07
