eigenvalue
9.875379999635289e-05
3.145770203345197e-05
1.8879775281641264e-05
1.4075153377797896e-05
1.088940174562191e-05
8.037919589367561e-06
7.252549307869447e-06
5.761271199315874e-06
4.993842792196957e-06
3.910052892178646e-06
3.599455414490077e-06
3.1997657477196928e-06
3.1645761412288555e-06
2.774682508636307e-06
2.729982682337427e-06
2.4639792864542228e-06
9.546747342504366e-08
