run_tag,bin_index,theta_deg,w_obs,h0_mean,h0_std,delta,pull,abs_pull,diagonal_chi2_contribution
mask_sf_nosens_bin10,0,6.667948463811719,-0.011592146886024014,-0.0007368348855521528,0.0026272216229002157,-0.010855312000471861,-4.1318600234253235,4.1318600234253235,16.764658846966363
mask_sf_nosens_bin10,8,89.82855819693712,-0.0036008077143412118,-0.000379766589272624,0.00196432968693576,-0.003221041125068588,-1.6397660458176238,1.6397660458176238,2.640385251938637
mask_sf_nosens_bin10,3,37.16411605597467,0.0021769749306786083,-0.00042272512345405583,0.0015980865911277336,0.002599700054132664,1.6267579409895156,1.6267579409895156,2.5986595748233565
mask_sf_nosens_bin10,6,68.87045856909494,0.0014760505370924589,-0.00031304990619421345,0.0016036870573935137,0.0017891004432866722,1.115616936560488,1.115616936560488,1.222175904734354
mask_sf_nosens_bin10,9,100.35573699419945,0.0018048222449203982,-0.00032803554882692657,0.0022273349616893966,0.002132857793747325,0.957582864488422,0.957582864488422,0.9004430523170234
mask_sf_nosens_bin10,14,153.2053318510985,0.003632725291094738,-0.0003026661601557149,0.004381976989017531,0.003935391451250453,0.8980858320834559,0.8980858320834559,0.7920255826588317
mask_sf_nosens_bin10,11,121.55748952377363,-0.0023800604097604624,-0.00027574944888205294,0.0028220933262801677,-0.0021043109608784093,-0.7456560491946836,0.7456560491946836,0.5459848730298916
mask_sf_nosens_bin10,12,132.12986143192512,0.0015981152386946515,-0.0003859037092430956,0.003335288391742112,0.001984018947937747,0.5948567902719151,0.5948567902719151,0.34747884256560796
mask_sf_nosens_bin10,7,79.33432574142712,-0.0013054291636207837,-0.000415394158130603,0.0017168662177742277,-0.0008900350054901808,-0.5184067318452041,0.5184067318452041,0.263903277954671
mask_sf_nosens_bin10,16,173.035552030217,0.0043465996512463126,-0.0005833145826203324,0.009942775329020978,0.004929914233866645,0.4958287872583603,0.4958287872583603,0.2414165253087099
mask_sf_nosens_bin10,4,47.67370919796724,-0.001089467511611539,-0.0004550704050768757,0.0016001870418304958,-0.0006343971065346632,-0.3964518456620596,0.3964518456620596,0.15434210096988735
mask_sf_nosens_bin10,10,111.01151507351221,-0.001199354561111116,-0.0004967040760918142,0.002476370312561539,-0.0007026504850193018,-0.28374208864131606,0.28374208864131606,0.07905894999585493
mask_sf_nosens_bin10,5,58.310159610735866,9.938486851421412e-05,-0.0003329661088356901,0.0015771497069505208,0.0004323509773499042,0.2741343926771143,0.2741343926771143,0.07379561731953668
mask_sf_nosens_bin10,1,16.219549827171342,-0.0004597306325104792,-0.0002733780933274854,0.0018115013956056165,-0.0001863525391829938,-0.10287187165970746,0.10287187165970746,0.010391944116753243
mask_sf_nosens_bin10,15,163.6184239564694,-0.0009045431316553774,-0.00035508433489573807,0.005573132659060693,-0.0005494587967596393,-0.09859065453390006,0.09859065453390006,0.009544979918696423
mask_sf_nosens_bin10,2,26.63644028855973,-0.000222785496560272,-0.0003533410716572823,0.0016109685939744366,0.0001305555750970103,0.08104166369492882,0.08104166369492882,0.006449413402008426
mask_sf_nosens_bin10,13,142.73088747116321,-0.0003282115465408445,-0.0005301630269718985,0.003633259355433527,0.000201951480431054,0.05558410799202984,0.05558410799202984,0.0030339247194934196
