category,statistic,value
chi2,chi2,28.194239906881936
chi2,chi2_red,1.762139994180121
chi2,p_empirical,0.052947052947052944
svd,chi2_svd,25.258378861124033
svd,chi2_svd_red,1.578648678820252
svd,p_svd_empirical,0.08091908091908091
covariance,effective_modes,4.228220415146215
covariance,condition,1034.4235209481005
anisotropy,abs_stat,0.002503801785289923
anisotropy,abs_p,0.3306693306693307
