eigenvalue
1.4679753597539912e-05
1.397930828336694e-05
4.942389399295064e-06
4.727759595420642e-06
3.11546238863044e-06
2.911740126600245e-06
2.3133994660354082e-06
2.214256853214376e-06
1.82187911391702e-06
1.667512830289977e-06
1.574813440015692e-06
1.543607896196206e-06
1.4805643335488064e-06
1.4516121368954576e-06
1.3410792326818416e-06
1.2287175006661966e-06
1.189029780403749e-06
5.202953298059587e-08
