eigenvalue
3.0159218315800757e-05
2.519120371728163e-05
9.611870084516348e-06
9.195093396066179e-06
6.880916283901801e-06
6.135250135642672e-06
5.642786915741465e-06
5.101280983423131e-06
4.861059348454833e-06
4.546261218643342e-06
4.370695308846303e-06
4.197424317186267e-06
4.009643011151017e-06
3.932363506993849e-06
3.858360941598158e-06
3.58363085834166e-06
3.4129948325898785e-06
1.5871311681602802e-07
