category,statistic,value
chi2,chi2,1615542.1637114778
chi2,chi2_red,95031.89198302811
chi2,p_empirical,0.000999000999000999
svd,chi2_svd,1615518.756392362
svd,chi2_svd_red,95030.51508190365
svd,p_svd_empirical,0.000999000999000999
covariance,effective_modes,9.020253355602284
covariance,condition,190.02347708135397
anisotropy,abs_stat,12.965538384393069
anisotropy,abs_p,0.000999000999000999
