theta_deg,w_obs,w_jackknife_mean,w_jackknife_err
5.0,2.4437998574133553,2.4441712891478167,0.9946041558203872
15.0,1.5297701442332876,1.5250070098028987,0.5761642467634506
25.0,1.1429184027790285,1.1334996622073557,0.34734254897495287
35.0,0.9201495768364065,0.905019791370873,0.24607902805301865
45.0,0.7027612058324599,0.6861180003911046,0.1805309815416651
55.0,0.45058606018178726,0.4373051512814386,0.1362191048380471
65.0,0.30063291208404125,0.2919429663406417,0.12880879037173937
75.0,0.12094835981998472,0.11785268478858063,0.12069945897190659
85.0,-0.12373352867275306,-0.12543092441976905,0.10811662833513735
95.0,-0.3372154024198769,-0.3399752392424101,0.14890801174343968
105.0,-0.48429489156471134,-0.48603235784556525,0.16652715525995024
115.0,-0.5461694696873093,-0.543129202207785,0.1526941078909676
125.0,-0.5647175486946536,-0.5551746043333612,0.1127847350948329
135.0,-0.5674612538327812,-0.5547450726723782,0.10289905712776892
145.0,-0.6086378480105377,-0.5915875035297433,0.1115396920944528
155.0,-0.6598683410037213,-0.6386838097991698,0.11951388370513438
165.0,-0.702368577401726,-0.6819032634006347,0.13636623076339915
175.0,-0.7595050039246468,-0.7526991275546718,0.17100588945636955
