run_tag,bin_index,theta_deg,w_obs,h0_mean,h0_std,delta,pull,abs_pull,diagonal_chi2_contribution
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,1,15.0,1.5297701442332876,-0.00029400466166571327,0.0030806199007481715,1.5300641488949533,496.67411030704625,496.67411030704625,241993.4620312912
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,2,25.0,1.1429184027790285,-0.00038743415681000794,0.0024548067312104346,1.1433058369358384,465.7416903473891,465.7416903473891,212789.80566394684
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,0,5.0,2.4437998574133553,-0.0007735988871944939,0.005377914465599202,2.44457345630055,454.5578906996655,454.5578906996655,202693.11166435128
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,3,35.0,0.9201495768364065,-0.00030185906744114346,0.0023388810325279336,0.9204514359038477,393.543503371547,393.543503371547,151930.89028510457
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,4,45.0,0.7027612058324599,-0.00043006518269565877,0.002110405015698365,0.7031912710151556,333.2020467404248,333.2020467404248,108912.0440200993
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,11,115.0,-0.5461694696873093,-0.00032405085856341897,0.0019138632901413216,-0.5458454188287458,-285.20606532101567,285.20606532101567,79795.44523051145
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,14,145.0,-0.6086378480105377,-0.0003694697588177959,0.002169972449893571,-0.6082683782517199,-280.3115670898226,280.3115670898226,77080.16338582236
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,13,135.0,-0.5674612538327812,-0.00044564734750317237,0.002040811721356972,-0.567015606485278,-277.83827399345836,277.83827399345836,75725.95039027842
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,12,125.0,-0.5647175486946536,-0.00034140072965688906,0.0020350126249185554,-0.5643761479649967,-277.33299576470733,277.33299576470733,75450.7695726818
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,15,155.0,-0.6598683410037213,-0.0004380005350588524,0.002483081209990138,-0.6594303404686624,-265.5693811181118,265.5693811181118,69185.74005943719
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,10,105.0,-0.48429489156471134,-0.0003740648200963104,0.001915245543467912,-0.483920826744615,-252.6677731439686,252.6677731439686,62626.81038954368
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,16,165.0,-0.702368577401726,-0.000364505539604702,0.0029954156943125592,-0.7020040718621213,-234.35948237857855,234.35948237857855,53879.75943651551
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,5,55.0,0.45058606018178726,-0.00035497006096945027,0.0020003969931680983,0.4509410302427567,225.42576876360926,225.42576876360926,49850.292020021516
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,9,95.0,-0.3372154024198769,-0.0004227962948989472,0.001881920332103731,-0.33679260612497797,-178.96220164087788,178.96220164087788,31418.338595779274
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,6,65.0,0.30063291208404125,-0.00046828972850342744,0.001980539990249305,0.3011012018125447,152.02985203172443,152.02985203172443,22673.487901387023
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,17,175.0,-0.7595050039246468,-0.000572942080216499,0.0052011635843173375,-0.7589320618444303,-145.91582237229818,145.91582237229818,20886.485167403236
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,8,85.0,-0.12373352867275306,-0.00032303284704394037,0.001807422126294295,-0.12341049582570912,-68.27984119595472,68.27984119595472,4573.467451977578
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,7,75.0,0.12094835981998472,-0.00037159371995070103,0.0018309762189606135,0.12131995353993542,66.25971010292267,66.25971010292267,4306.849053017628
