run_tag,mode_index,eigenvalue,relative_eigenvalue,kept_by_svd_cut,delta_projection,abs_delta_projection,raw_chi2_contribution,svd_chi2_contribution,dominant_theta_deg,dominant_loading,cumulative_raw_chi2_contribution,fractional_raw_chi2_contribution,fractional_svd_chi2_contribution
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,13,3.932363506993851e-06,0.13038678475740345,True,-1.0495947477958032,1.0495947477958032,274821.19769325084,274821.19769325084,45.0,-0.5815159246464879,274821.19769325084,0.17011081720200233,0.17011328194477787
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,2,9.611870084516354e-06,0.31870421785701886,True,1.6092768662875194,1.6092768662875194,264310.38772799616,264310.38772799616,15.0,0.9573632132999368,539131.585421247,0.16360475985398018,0.16360713033021754
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,4,6.880916283901797e-06,0.22815300489060786,True,-1.1748099297561845,1.1748099297561845,196765.76149205543,196765.76149205543,25.0,-0.6907613637537188,735897.3469133023,0.12179549745703568,0.12179726215711406
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,0,3.0159218315800744e-05,1.0,True,-2.432638833472066,2.432638833472066,192484.50611981162,192484.50611981162,5.0,-0.8242038771462393,928381.853033114,0.11914545497073607,0.11914718127423755
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,11,4.197424317186267e-06,0.1391755009441737,True,0.8655647557058447,0.8655647557058447,175096.24882028528,175096.24882028528,135.0,-0.5294779970837624,1103478.1018533993,0.10838234541525454,0.1083839157716096
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,8,4.861059348454836e-06,0.16117988528595498,True,-0.8576642702853519,0.8576642702853519,148444.56457445768,148444.56457445768,135.0,0.505990595808038,1251922.666427857,0.09188529269544243,0.09188662402530771
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,7,5.101280983423133e-06,0.16914500004632135,True,0.8492697698758054,0.8492697698758054,138698.79016354555,138698.79016354555,145.0,-0.8732911749698627,1390621.4565914026,0.08585278260079866,0.0858540265253718
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,16,3.412994832589877e-06,0.11316589166376942,True,0.4683097149913957,0.4683097149913957,63036.383814617075,63036.383814617075,85.0,-0.5244445497593542,1453657.8404060197,0.03901871782151442,0.03901928316535582
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,14,3.858360941598156e-06,0.12793305520046316,True,-0.42770399305219087,0.42770399305219087,46509.786362316154,46509.786362316154,75.0,-0.6227259626682442,1500167.626768336,0.02878896472467577,0.028789381849194877
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,10,4.3706953088463035e-06,0.14492070925314562,True,0.37625103950742816,0.37625103950742816,31773.530398010047,31773.530398010047,65.0,0.6981398890633804,1531941.157166346,0.019667410180750005,0.0196676951426822
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,12,4.009643011151018e-06,0.1329491689461435,True,-0.34165672901616495,0.34165672901616495,28558.463433588582,28558.463433588582,105.0,0.7635348858406309,1560499.6205999346,0.017677324724214905,0.01767758085171533
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,1,2.5191203717281634e-05,0.8352737611930641,True,0.6094727236416565,0.6094727236416565,14465.059200368207,14465.059200368207,175.0,0.8226261202058522,1574964.6798003027,0.008953687205004158,0.008953816935354148
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,5,6.135250135642674e-06,0.20342868543208725,True,0.29185306528059,0.29185306528059,13619.364139639123,13619.364139639123,35.0,0.7573952483027332,1588584.0439399418,0.008430212745639867,0.008430334891346428
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,6,5.642786915741464e-06,0.18709990612671637,True,0.2667787275769037,0.2667787275769037,12372.838108066948,12372.838108066948,45.0,-0.49174013774294506,1600956.8820480087,0.007658629026210063,0.007658739992407706
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,15,3.583630858341658e-06,0.11882373146468968,True,0.18822678458954906,0.18822678458954906,9698.401663988632,9698.401663988632,85.0,0.6928802325731563,1610655.2837119973,0.0060031869683350916,0.006003273948763226
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,9,4.5462612186433416e-06,0.15074201098446594,True,-0.12385191412663407,0.12385191412663407,3309.8754195482243,3309.8754195482243,55.0,-0.4337493347197418,1613965.1591315456,0.002048770681381818,0.002048800366106274
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,3,9.195093396066179e-06,0.30488500397401774,True,-0.12067491514001283,0.12067491514001283,1553.5972608166182,1553.5972608166182,165.0,0.9350900130507773,1615518.7563923623,0.000961656894950639,0.0009616708284377819
pureisotropy_mask_nosf_gal20_bin10_nside64_smooth3,17,1.5871311681602934e-07,0.0052625076404210986,False,-0.0019460408591126382,0.0019460408591126382,23.407319117227093,0.0,95.0,-0.3120081321552118,1615542.1637114796,1.4488832073223078e-05,0.0
